,LocationID,Borough,Median H/income
226,71,Brooklyn,66937
227,72,Brooklyn,66937
228,76,Brooklyn,66937
229,77,Brooklyn,66937
230,80,Brooklyn,66937
231,85,Brooklyn,66937
232,89,Brooklyn,66937
233,91,Brooklyn,66937
234,97,Brooklyn,66937
235,106,Brooklyn,66937
236,108,Brooklyn,66937
237,111,Brooklyn,66937
238,112,Brooklyn,66937
239,123,Brooklyn,66937
240,133,Brooklyn,66937
241,149,Brooklyn,66937
242,150,Brooklyn,66937
243,154,Brooklyn,66937
244,155,Brooklyn,66937
245,165,Brooklyn,66937
246,177,Brooklyn,66937
247,178,Brooklyn,66937
248,181,Brooklyn,66937
249,188,Brooklyn,66937
250,189,Brooklyn,66937
251,190,Brooklyn,66937
252,195,Brooklyn,66937
253,210,Brooklyn,66937
254,217,Brooklyn,66937
255,222,Brooklyn,66937
256,225,Brooklyn,66937
257,227,Brooklyn,66937
258,228,Brooklyn,66937
259,255,Brooklyn,66937
260,256,Brooklyn,66937
261,257,Brooklyn,66937
